,Soil,Month,State,Rice,Wheat,Cotton,Sugarcane,Tea,Ragi,Maize,Millet,Barley,
0,AL,January,APT,1,0,0,0,0,0,0,0,0,R
1,AL,January,ASM,1,0,0,0,0,0,0,0,0,R
2,AL,January,BHR,1,0,0,0,0,0,0,0,0,R
3,AL,January,GJT,1,0,0,0,0,0,0,0,0,R
4,AL,January,HYA,1,0,0,0,0,0,0,0,0,R
5,AL,January,HMP,1,0,0,0,0,0,0,0,0,R
6,AL,January,KTA,1,0,0,0,0,0,0,0,0,R
7,AL,January,KLA,1,0,0,0,0,0,0,0,0,R
8,AL,January,MDP,1,0,0,0,0,0,0,0,0,R
9,AL,January,MRA,1,0,0,0,0,0,0,0,0,R
10,AL,January,ODA ,1,0,0,0,0,0,0,0,0,R
11,AL,January,PJB,1,0,0,0,0,0,0,0,0,R
12,AL,January,TMN,1,0,0,0,0,0,0,0,0,R
13,AL,January,UTP,1,0,0,0,0,0,0,0,0,R
14,AL,January,WTB,1,0,0,0,0,0,0,0,0,R
15,AL,January,CTH,1,0,0,0,0,0,0,0,0,R
16,AL,January,JKD,1,0,0,0,0,0,0,0,0,R
17,AL,January,UKD,1,0,0,0,0,0,0,0,0,R
18,AL,February,APT,0,0,0,1,0,0,0,0,0,S
19,AL,February,KTA,0,0,0,1,0,0,0,0,0,S
20,AL,February,MRA,0,0,0,1,0,0,0,0,0,S
21,AL,February,TMN,0,0,0,1,0,0,0,0,0,S
22,AL,February,UTP,0,0,0,1,0,0,0,0,0,S
23,AL,February,UKD,0,0,0,1,0,0,0,0,0,S
24,AL,March,APT,0,0,0,1,0,0,0,0,0,S
25,AL,March,KTA,0,0,0,1,0,0,0,0,0,S
26,AL,March,MRA,0,0,0,1,0,0,0,0,0,S
27,AL,March,TMN,0,0,0,1,0,0,0,0,0,S
28,AL,March,UTP,0,0,0,1,0,0,0,0,0,S
29,AL,March,UKD,0,0,0,1,0,0,0,0,0,S
30,AL,April,APT,0,0,1,1,0,0,0,0,0,C S 
31,AL,April,GJT,0,0,1,0,0,0,0,0,0,C
32,AL,April,HYA,0,0,1,0,0,0,0,0,0,C
33,AL,April,KTA,0,0,1,1,0,0,0,0,0,C S 
34,AL,April,MDP,0,0,1,0,0,0,0,0,0,C
35,AL,April,MRA,0,0,1,1,0,0,0,0,0,C S 
36,AL,April,ODA ,0,0,1,0,0,0,0,0,0,C
37,AL,April,PJB,0,0,1,0,0,0,0,0,0,C
38,AL,April,RJN,0,0,1,0,0,0,0,0,0,C
39,AL,April,TMN,0,0,1,1,0,0,0,0,0,C S 
40,AL,April,UTP,0,0,0,1,0,0,0,0,0,S
41,AL,April,UKD,0,0,0,1,0,0,0,0,0,S
42,AL,May,APT,1,0,1,1,0,0,0,0,0,R C S
43,AL,May,ASM,1,0,0,0,0,0,0,0,0,R
44,AL,May,BHR,1,0,0,0,0,0,0,0,0,R
45,AL,May,GJT,1,0,1,0,0,0,0,0,0,R C 
46,AL,May,HYA,1,0,1,0,0,0,0,0,0,R C 
47,AL,May,HMP,1,0,0,0,0,0,0,0,0,R
48,AL,May,KTA,1,0,1,1,0,0,0,0,0,R C S
49,AL,May,KLA,1,0,0,0,0,0,0,0,0,R
50,AL,May,MDP,1,0,1,0,0,0,0,0,0,R C
51,AL,May,MRA,1,0,1,1,0,0,0,0,0,R C S
52,AL,May,ODA ,1,0,1,0,0,0,0,0,0,R C
53,AL,May,PJB,1,0,1,0,0,0,0,0,0,R C 
54,AL,May,RJN,0,0,1,0,0,0,0,0,0,C
55,AL,May,TMN,1,0,1,1,0,0,0,0,0,R C S 
56,AL,May,UTP,1,0,0,1,0,0,0,0,0,R S
57,AL,May,WTB,1,0,0,0,0,0,0,0,0,R
58,AL,May,CTH,1,0,0,0,0,0,0,0,0,R
59,AL,May,JKD,1,0,0,0,0,0,0,0,0,R
60,AL,May,UKD,1,0,0,1,0,0,0,0,0,R S
61,AL,June,APT,1,0,1,1,0,0,0,0,0,R C S
62,AL,June,ASM,1,0,0,0,0,0,0,0,0,R
63,AL,June,BHR,1,0,0,0,0,0,0,0,0,R
64,AL,June,GJT,1,0,1,0,0,0,0,0,0,R C
65,AL,June,HYA,1,0,1,0,0,0,0,0,0,R C
66,AL,June,HMP,1,0,0,0,0,0,0,0,0,R
67,AL,June,KTA,1,0,1,1,0,0,0,0,0,R C S
68,AL,June,KLA,1,0,0,0,0,0,0,0,0,R
69,AL,June,MDP,1,0,1,0,0,0,0,0,0,R C
70,AL,June,MRA,1,0,1,1,0,0,0,0,0,R C S
71,AL,June,ODA ,1,0,1,0,0,0,0,0,0,R C
72,AL,June,PJB,1,0,1,0,0,0,0,0,0,R C
73,AL,June,RJN,0,0,1,0,0,0,0,0,0,C
74,AL,June,TMN,1,0,1,1,0,0,0,0,0,R C S
75,AL,June,UTP,1,0,0,1,0,0,0,0,0,R S 
76,AL,June,WTB,1,0,0,0,0,0,0,0,0,R
77,AL,June,CTH,1,0,0,0,0,0,0,0,0,R
78,AL,June,JKD,1,0,0,0,0,0,0,0,0,R
79,AL,June,UKD,1,0,0,1,0,0,0,0,0,R S
80,AL,July,APT,1,0,1,1,0,0,0,0,0,R C S
81,AL,July,ASM,1,0,0,0,0,0,0,0,0,R
82,AL,July,BHR,1,0,0,0,0,0,0,0,0,R
83,AL,July,GJT,1,0,1,0,0,0,0,0,0,R C
84,AL,July,HYA,1,0,1,0,0,0,0,0,0,R C
85,AL,July,HMP,1,0,0,0,0,0,0,0,0,R
86,AL,July,KTA,1,0,1,1,0,0,0,0,0,R C S
87,AL,July,KLA,1,0,0,0,0,0,0,0,0,R
88,AL,July,MDP,1,0,1,0,0,0,0,0,0,R C
89,AL,July,MRA,1,0,1,1,0,0,0,0,0,R C S
90,AL,July,ODA ,1,0,1,0,0,0,0,0,0,R C
91,AL,July,PJB,1,0,1,0,0,0,0,0,0,R C
92,AL,July,RJN,0,0,1,0,0,0,0,0,0,C
93,AL,July,TMN,1,0,1,1,0,0,0,0,0,R C S
94,AL,July,UTP,1,0,0,1,0,0,0,0,0,R S
95,AL,July,WTB,1,0,0,0,0,0,0,0,0,R
96,AL,July,CTH,1,0,0,0,0,0,0,0,0,R
97,AL,July,JKD,1,0,0,0,0,0,0,0,0,R
98,AL,July,UKD,1,0,0,1,0,0,0,0,0,R S
99,AL,August,APT,1,0,1,1,0,0,0,0,0,R C S
100,AL,August,ASM,1,0,0,0,0,0,0,0,0,R
101,AL,August,BHR,1,0,0,0,0,0,0,0,0,R
102,AL,August,GJT,1,0,1,0,0,0,0,0,0,R C
103,AL,August,HYA,1,0,1,0,0,0,0,0,0,R C
104,AL,August,HMP,1,0,0,0,0,0,0,0,0,R
105,AL,August,KTA,1,0,1,1,0,0,0,0,0,R C S
106,AL,August,KLA,1,0,0,0,0,0,0,0,0,R
107,AL,August,MDP,1,0,1,0,0,0,0,0,0,R C
108,AL,August,MRA,1,0,1,1,0,0,0,0,0,R C S
109,AL,August,ODA ,1,0,1,0,0,0,0,0,0,R C
110,AL,August,PJB,1,0,1,0,0,0,0,0,0,R C
111,AL,August,RJN,0,0,1,0,0,0,0,0,0,C
112,AL,August,TMN,1,0,1,1,0,0,0,0,0,R C S
113,AL,August,UTP,1,0,0,1,0,0,0,0,0,R S
114,AL,August,WTB,1,0,0,0,0,0,0,0,0,R
115,AL,August,CTH,1,0,0,0,0,0,0,0,0,R
116,AL,August,JKD,1,0,0,0,0,0,0,0,0,R
117,AL,August,UKD,1,0,0,1,0,0,0,0,0,R S
118,AL,September,APT,1,0,0,0,0,0,0,0,0,R
119,AL,September,ASM,1,0,0,0,0,0,0,0,0,R
120,AL,September,BHR,1,0,0,0,0,0,0,0,0,R
121,AL,September,GJT,1,0,0,0,0,0,0,0,0,R
122,AL,September,HYA,1,0,0,0,0,0,0,0,0,R
123,AL,September,HMP,1,0,0,0,0,0,0,0,0,R
124,AL,September,KTA,1,0,0,0,0,0,0,0,0,R
125,AL,September,KLA,1,0,0,0,0,0,0,0,0,R
126,AL,September,MDP,1,0,0,0,0,0,0,0,0,R
127,AL,September,MRA,1,0,0,0,0,0,0,0,0,R
128,AL,September,ODA ,1,0,0,0,0,0,0,0,0,R
129,AL,September,PJB,1,0,0,0,0,0,0,0,0,R
130,AL,September,TMN,1,0,0,0,0,0,0,0,0,R
131,AL,September,UTP,1,0,0,0,0,0,0,0,0,R
132,AL,September,WTB,1,0,0,0,0,0,0,0,0,R
133,AL,September,CTH,1,0,0,0,0,0,0,0,0,R
134,AL,September,JKD,1,0,0,0,0,0,0,0,0,R
135,AL,September,UKD,1,0,0,0,0,0,0,0,0,R
136,AL,October,BHR,0,1,0,0,0,0,0,0,0,W
137,AL,October,GJT,0,1,0,0,0,0,0,0,0,W
138,AL,October,HYA,0,1,0,0,0,0,0,0,0,W
139,AL,October,HMP,0,1,0,0,0,0,0,0,0,W
140,AL,October,MDP,0,1,0,0,0,0,0,0,0,W
141,AL,October,PJB,0,1,0,0,0,0,0,0,0,W
142,AL,October,RJN,0,1,0,0,0,0,0,0,0,W
143,AL,October,UTP,0,1,0,0,0,0,0,0,0,W
144,AL,October,WTB,0,1,0,0,0,0,0,0,0,W
145,AL,October,JKD,0,1,0,0,0,0,0,0,0,W
146,AL,October,UKD,0,1,0,0,0,0,0,0,0,W
147,AL,November,BHR,0,1,0,0,0,0,0,0,0,W
148,AL,November,GJT,0,1,0,0,0,0,0,0,0,W
149,AL,November,HYA,0,1,0,0,0,0,0,0,0,W
150,AL,November,HMP,0,1,0,0,0,0,0,0,0,W
151,AL,November,MDP,0,1,0,0,0,0,0,0,0,W
152,AL,November,PJB,0,1,0,0,0,0,0,0,0,W
153,AL,November,RJN,0,1,0,0,0,0,0,0,0,W
154,AL,November,UTP,0,1,0,0,0,0,0,0,0,W
155,AL,November,WTB,0,1,0,0,0,0,0,0,0,W
156,AL,November,JKD,0,1,0,0,0,0,0,0,0,W
157,AL,November,UKD,0,1,0,0,0,0,0,0,0,W
158,AL,December,APT,1,0,0,0,0,0,0,0,0,R
159,AL,December,ASM,1,0,0,0,0,0,0,0,0,R
160,AL,December,BHR,1,1,0,0,0,0,0,0,0,R W
161,AL,December,GJT,1,1,0,0,0,0,0,0,0,R W
162,AL,December,HYA,1,1,0,0,0,0,0,0,0,R W
163,AL,December,HMP,1,1,0,0,0,0,0,0,0,R W
164,AL,December,KTA,1,0,0,0,0,0,0,0,0,R
165,AL,December,KLA,1,0,0,0,0,0,0,0,0,R
166,AL,December,MDP,1,1,0,0,0,0,0,0,0,R W
167,AL,December,MRA,1,0,0,0,0,0,0,0,0,R
168,AL,December,ODA ,1,0,0,0,0,0,0,0,0,R
169,AL,December,PJB,1,1,0,0,0,0,0,0,0,R W
170,AL,December,RJN,0,1,0,0,0,0,0,0,0,W
171,AL,December,TMN,1,0,0,0,0,0,0,0,0,R
172,AL,December,UTP,1,1,0,0,0,0,0,0,0,R W
173,AL,December,WTB,1,1,0,0,0,0,0,0,0,R W
174,AL,December,CTH,1,0,0,0,0,0,0,0,0,R
175,AL,December,JKD,1,1,0,0,0,0,0,0,0,R W
176,AL,December,UKD,1,1,0,0,0,0,0,0,0,R W
177,RD,January,APT,1,0,0,0,0,0,0,1,0,R MI
178,RD,January,ASM,1,0,0,0,0,0,0,0,0,R
179,RD,January,BHR,1,0,0,0,0,0,0,0,0,R
180,RD,January,GJT,1,0,0,0,0,0,0,1,0,R MI
181,RD,January,HYA,1,0,0,0,0,0,0,1,0,R MI
182,RD,January,HMP,1,0,0,0,0,0,0,0,0,R
183,RD,January,KTA,1,0,0,0,0,0,0,1,0,R MI
184,RD,January,KLA,1,0,0,0,0,0,0,0,0,R
185,RD,January,MDP,1,0,0,0,0,0,0,1,0,R MI
186,RD,January,MRA,1,0,0,0,0,0,0,1,0,R MI
187,RD,January,ODA ,1,0,0,0,0,0,0,0,0,R
188,RD,January,PJB,1,0,0,0,0,0,0,0,0,R
189,RD,January,RJN,0,0,0,0,0,0,0,1,0,MI
190,RD,January,TMN,1,0,0,0,0,0,0,1,0,R MI
191,RD,January,UTP,1,0,0,0,0,0,0,1,0,R MI
192,RD,January,WTB,1,0,0,0,0,0,0,0,0,R
193,RD,January,CTH,1,0,0,0,0,0,0,0,0,R
194,RD,January,JKD,1,0,0,0,0,0,0,0,0,R
195,RD,January,UKD,1,0,0,0,0,0,0,0,0,R
196,RD,February,APT,0,0,0,1,0,0,0,1,0,S MI
197,RD,February,GJT,0,0,0,0,0,0,0,1,0,MI
198,RD,February,HYA,0,0,0,0,0,0,0,1,0,MI
199,RD,February,KTA,0,0,0,1,0,0,0,1,0,S MI
200,RD,February,MDP,0,0,0,0,0,0,0,1,0,MI
201,RD,February,MRA,0,0,0,1,0,0,0,1,0,S MI
202,RD,February,RJN,0,0,0,0,0,0,0,1,0,MI
203,RD,February,TMN,0,0,0,1,0,0,0,1,0,S MI
204,RD,February,UTP,0,0,0,1,0,0,0,1,0,S MI
205,RD,February,UKD,0,0,0,1,0,0,0,0,0,S
206,RD,March,APT,0,0,0,1,0,0,0,0,0,S
207,RD,March,KTA,0,0,0,1,0,0,0,0,0,S
208,RD,March,MRA,0,0,0,1,0,0,0,0,0,S
209,RD,March,TMN,0,0,0,1,0,0,0,0,0,S
210,RD,March,UTP,0,0,0,1,0,0,0,0,0,S
211,RD,March,UKD,0,0,0,1,0,0,0,0,0,S
212,RD,April,APT,0,0,0,1,0,0,0,0,0,S
213,RD,April,KTA,0,0,0,1,0,0,0,0,0,S
214,RD,April,MRA,0,0,0,1,0,0,0,0,0,S
215,RD,April,TMN,0,0,0,1,0,0,0,0,0,S
216,RD,April,UTP,0,0,0,1,0,0,0,0,0,S
217,RD,April,UKD,0,0,0,1,0,0,0,0,0,S
218,RD,May,APT,1,0,0,1,0,0,0,1,0,R S
219,RD,May,ASM,1,0,0,0,0,0,0,0,0,R
220,RD,May,BHR,1,0,0,0,0,0,0,0,0,R
221,RD,May,GJT,1,0,0,0,0,0,0,1,0,R MI
222,RD,May,HYA,1,0,0,0,0,0,0,1,0,R MI
223,RD,May,HMP,1,0,0,0,0,0,0,0,0,R
224,RD,May,KTA,1,0,0,1,0,0,0,1,0,R S MI
225,RD,May,KLA,1,0,0,0,0,0,0,0,0,R
226,RD,May,MDP,1,0,0,0,0,0,0,1,0,R MI
227,RD,May,MRA,1,0,0,1,0,0,0,1,0,R S MI
228,RD,May,ODA ,1,0,0,0,0,0,0,0,0,R
229,RD,May,PJB,1,0,0,0,0,0,0,0,0,R
230,RD,May,RJN,0,0,0,0,0,0,0,1,0,MI
231,RD,May,TMN,1,0,0,1,0,0,0,1,0,R S MI
232,RD,May,UTP,1,0,0,1,0,0,0,1,0,R S MI
233,RD,May,WTB,1,0,0,0,0,0,0,0,0,R
234,RD,May,CTH,1,0,0,0,0,0,0,0,0,R
235,RD,May,JKD,1,0,0,0,0,0,0,0,0,R
236,RD,May,UKD,1,0,0,1,0,0,0,0,0,R S
237,RD,June,APT,1,0,0,1,0,0,0,1,0,R S MI
238,RD,June,ASM,1,0,0,0,0,0,0,0,0,R
239,RD,June,BHR,1,0,0,0,0,0,0,0,0,R
240,RD,June,GJT,1,0,0,0,0,0,0,1,0,R MI
241,RD,June,HYA,1,0,0,0,0,0,0,1,0,R MI
242,RD,June,HMP,1,0,0,0,0,0,0,0,0,R
243,RD,June,KTA,1,0,0,1,0,0,0,1,0,R S MI
244,RD,June,KLA,1,0,0,0,0,0,0,0,0,R
245,RD,June,MDP,1,0,0,0,0,0,0,1,0,R MI
246,RD,June,MRA,1,0,0,1,0,0,0,1,0,R S MI
247,RD,June,ODA ,1,0,0,0,0,0,0,0,0,R
248,RD,June,PJB,1,0,0,0,0,0,0,0,0,R
249,RD,June,RJN,0,0,0,0,0,0,0,1,0,MI
250,RD,June,TMN,1,0,0,1,0,0,0,1,0,R S MI
251,RD,June,UTP,1,0,0,1,0,0,0,1,0,R S MI
252,RD,June,WTB,1,0,0,0,0,0,0,0,0,R
253,RD,June,CTH,1,0,0,0,0,0,0,0,0,R
254,RD,June,JKD,1,0,0,0,0,0,0,0,0,R
255,RD,June,UKD,1,0,0,1,0,0,0,0,0,R S
256,RD,July,APT,1,0,0,1,0,0,0,1,0,R S MI
257,RD,July,ASM,1,0,0,0,0,0,0,0,0,R
258,RD,July,BHR,1,0,0,0,0,0,0,0,0,R
259,RD,July,GJT,1,0,0,0,0,0,0,1,0,R MI
260,RD,July,HYA,1,0,0,0,0,0,0,1,0,R MI
261,RD,July,HMP,1,0,0,0,0,0,0,0,0,R
262,RD,July,KTA,1,0,0,1,0,0,0,1,0,R S MI
263,RD,July,KLA,1,0,0,0,0,0,0,0,0,R
264,RD,July,MDP,1,0,0,0,0,0,0,1,0,R MI
265,RD,July,MRA,1,0,0,1,0,0,0,1,0,R S MI
266,RD,July,ODA ,1,0,0,0,0,0,0,0,0,R
267,RD,July,PJB,1,0,0,0,0,0,0,0,0,R
268,RD,July,RJN,0,0,0,0,0,0,0,1,0,MI
269,RD,July,TMN,1,0,0,1,0,0,0,1,0,R S MI
270,RD,July,UTP,1,0,0,1,0,0,0,1,0,R S MI
271,RD,July,WTB,1,0,0,0,0,0,0,0,0,R
272,RD,July,CTH,1,0,0,0,0,0,0,0,0,R
273,RD,July,JKD,1,0,0,0,0,0,0,0,0,R
274,RD,July,UKD,1,0,0,1,0,0,0,0,0,R S
275,RD,August,APT,1,0,0,1,0,0,0,1,0,R S MI
276,RD,August,ASM,1,0,0,0,0,0,0,0,0,R
277,RD,August,BHR,1,0,0,0,0,0,0,0,0,R
278,RD,August,GJT,1,0,0,0,0,0,0,1,0,R MI
279,RD,August,HYA,1,0,0,0,0,0,0,1,0,R MI
280,RD,August,HMP,1,0,0,0,0,0,0,0,0,R
281,RD,August,KTA,1,0,0,1,0,0,0,1,0,R S MI
282,RD,August,KLA,1,0,0,0,0,0,0,0,0,R
283,RD,August,MDP,1,0,0,0,0,0,0,1,0,R MI
284,RD,August,MRA,1,0,0,1,0,0,0,1,0,R S MI
285,RD,August,ODA ,1,0,0,0,0,0,0,0,0,R
286,RD,August,PJB,1,0,0,0,0,0,0,0,0,R
287,RD,August,RJN,0,0,0,0,0,0,0,1,0,MI
288,RD,August,TMN,1,0,0,1,0,0,0,1,0,R S MI
289,RD,August,UTP,1,0,0,1,0,0,0,1,0,R S MI
290,RD,August,WTB,1,0,0,0,0,0,0,0,0,R
291,RD,August,CTH,1,0,0,0,0,0,0,0,0,R
292,RD,August,JKD,1,0,0,0,0,0,0,0,0,R
293,RD,August,UKD,1,0,0,1,0,0,0,0,0,R S
294,RD,September,APT,1,0,0,0,0,1,0,0,0,R RA
295,RD,September,ASM,1,0,0,0,0,0,0,0,0,R
296,RD,September,BHR,1,0,0,0,0,0,0,0,0,R
297,RD,September,GJT,1,0,0,0,0,0,0,0,0,R
298,RD,September,HYA,1,0,0,0,0,0,0,0,0,R
299,RD,September,HMP,1,0,0,0,0,0,0,0,0,R
300,RD,September,KTA,1,0,0,0,0,1,0,0,0,R RA
301,RD,September,KLA,1,0,0,0,0,0,0,0,0,R
302,RD,September,MDP,1,0,0,0,0,0,0,0,0,R
303,RD,September,MRA,1,0,0,0,0,1,0,0,0,R RA
304,RD,September,ODA ,1,0,0,0,0,1,0,0,0,R RA
305,RD,September,PJB,1,0,0,0,0,0,0,0,0,R
306,RD,September,RJN,0,0,0,0,0,1,0,0,0,RA
307,RD,September,TMN,1,0,0,0,0,1,0,0,0,R RA
308,RD,September,UTP,1,0,0,0,0,0,0,0,0,R
309,RD,September,WTB,1,0,0,0,0,0,0,0,0,R
310,RD,September,CTH,1,0,0,0,0,0,0,0,0,R
311,RD,September,JKD,1,0,0,0,0,0,0,0,0,R
312,RD,September,UKD,1,0,0,0,0,1,0,0,0,R RA
313,RD,October,APT,0,0,0,0,0,1,0,0,0,RA
314,RD,October,BHR,0,1,0,0,0,0,0,0,0,W
315,RD,October,GJT,0,1,0,0,0,0,0,0,0,W
316,RD,October,HYA,0,1,0,0,0,0,0,0,0,W
317,RD,October,HMP,0,1,0,0,0,0,0,0,0,W
318,RD,October,KTA,0,0,0,0,0,1,0,0,0,RA
319,RD,October,MDP,0,1,0,0,0,0,0,0,0,W
320,RD,October,MRA,0,0,0,0,0,1,0,0,0,RA
321,RD,October,ODA ,0,0,0,0,0,1,0,0,0,RA
322,RD,October,PJB,0,1,0,0,0,0,0,0,0,W
323,RD,October,RJN,0,1,0,0,0,1,0,0,0,W RA
324,RD,October,TMN,0,0,0,0,0,1,0,0,0,RA
325,RD,October,UTP,0,1,0,0,0,0,0,0,0,W
326,RD,October,WTB,0,1,0,0,0,0,0,0,0,W
327,RD,October,JKD,0,1,0,0,0,0,0,0,0,W
328,RD,October,UKD,0,1,0,0,0,1,0,0,0,W RA
329,RD,November,APT,0,0,0,0,0,1,0,0,0,RA
330,RD,November,BHR,0,1,0,0,0,0,0,0,0,W
331,RD,November,GJT,0,1,0,0,0,0,0,0,0,W
332,RD,November,HYA,0,1,0,0,0,0,0,0,0,W
333,RD,November,HMP,0,1,0,0,0,0,0,0,0,W
334,RD,November,KTA,0,0,0,0,0,1,0,0,0,RA
335,RD,November,MDP,0,1,0,0,0,0,0,0,0,W
336,RD,November,MRA,0,0,0,0,0,1,0,0,0,RA
337,RD,November,ODA ,0,0,0,0,0,1,0,0,0,RA
338,RD,November,PJB,0,1,0,0,0,0,0,0,0,W
339,RD,November,RJN,0,1,0,0,0,1,0,0,0,W RA
340,RD,November,TMN,0,0,0,0,0,1,0,0,0,RA
341,RD,November,UTP,0,1,0,0,0,0,0,0,0,W
342,RD,November,WTB,0,1,0,0,0,0,0,0,0,W
343,RD,November,JKD,0,1,0,0,0,0,0,0,0,W
344,RD,November,UKD,0,1,0,0,0,1,0,0,0,W RA
345,RD,December,APT,1,0,0,0,0,1,0,0,0,R RA
346,RD,December,ASM,1,0,0,0,0,0,0,0,0,R
347,RD,December,BHR,1,1,0,0,0,0,0,0,0,R W
348,RD,December,GJT,1,1,0,0,0,0,0,0,0,R W
349,RD,December,HYA,1,1,0,0,0,0,0,0,0,R W
350,RD,December,HMP,1,1,0,0,0,0,0,0,0,R W
351,RD,December,KTA,1,0,0,0,0,1,0,0,0,R RA
352,RD,December,KLA,1,0,0,0,0,0,0,0,0,R
353,RD,December,MDP,1,1,0,0,0,0,0,0,0,R W
354,RD,December,MRA,1,0,0,0,0,1,0,0,0,R RA
355,RD,December,ODA ,1,0,0,0,0,1,0,0,0,R RA
356,RD,December,PJB,1,1,0,0,0,0,0,0,0,R W
357,RD,December,RJN,0,1,0,0,0,1,0,0,0,W RA
358,RD,December,TMN,1,0,0,0,0,1,0,0,0,R RA
359,RD,December,UTP,1,1,0,0,0,0,0,0,0,R W
360,RD,December,WTB,1,1,0,0,0,0,0,0,0,R W
361,RD,December,CTH,1,0,0,0,0,0,0,0,0,R
362,RD,December,JKD,1,1,0,0,0,0,0,0,0,R W
363,RD,December,UKD,1,1,0,0,0,1,0,0,0,R W RA
364,BK,January,APT,1,0,0,0,0,0,0,1,0,R MI
365,BK,January,ASM,1,0,0,0,0,0,0,0,0,R
366,BK,January,BHR,1,0,0,0,0,0,0,0,0,R
367,BK,January,GJT,1,0,0,0,0,0,0,1,0,R MI
368,BK,January,HYA,1,0,0,0,0,0,0,1,0,R MI
369,BK,January,HMP,1,0,0,0,0,0,0,0,0,R
370,BK,January,KTA,1,0,0,0,0,0,0,1,0,R MI
371,BK,January,KLA,1,0,0,0,0,0,0,0,0,R
372,BK,January,MDP,1,0,0,0,0,0,0,1,0,R MI
373,BK,January,MRA,1,0,0,0,0,0,0,1,0,R MI
374,BK,January,ODA ,1,0,0,0,0,0,0,0,0,R
375,BK,January,PJB,1,0,0,0,0,0,0,0,0,R
376,BK,January,RJN,0,0,0,0,0,0,0,1,0,MI
377,BK,January,TMN,1,0,0,0,0,0,0,1,0,R MI
378,BK,January,UTP,1,0,0,0,0,0,0,1,0,R MI
379,BK,January,WTB,1,0,0,0,0,0,0,0,0,R
380,BK,January,CTH,1,0,0,0,0,0,0,0,0,R
381,BK,January,JKD,1,0,0,0,0,0,0,0,0,R
382,BK,January,UKD,1,0,0,0,0,0,0,0,0,R
383,BK,February,APT,0,0,0,1,0,0,0,1,0,S MI
384,BK,February,GJT,0,0,0,0,0,0,0,1,0,MI
385,BK,February,HYA,0,0,0,0,0,0,0,1,0,MI
386,BK,February,KTA,0,0,0,1,0,0,0,1,0,S MI
387,BK,February,MDP,0,0,0,0,0,0,0,1,0,MI
388,BK,February,MRA,0,0,0,1,0,0,0,1,0,S MI
389,BK,February,RJN,0,0,0,0,0,0,0,1,0,MI
390,BK,February,TMN,0,0,0,1,0,0,0,1,0,S MI
